№ п/п,№ плавки,№ ручья,№ НЛЗ,"Ромбичность, мм",max,min,Δ
1192,12003679,6,120036791605,3,180,180,0
1193,12003684,1,120036841105,4,182,180,2
1194,12003684,2,120036841205,6,181,180,1
1195,12003684,3,120036841305,7,182,181,1
1196,12003684,4,120036841405,5,181,180,1
1197,12003684,5,120036841505,3,182,180,2
1198,12003687,1,120036871105,2,181,180,1
1199,12003687,2,120036871205,8,182,181,1
1200,12003687,3,120036871305,4,182,180,2
1201,12003687,4,120036871405,2,181,180,1
1202,12003687,5,120036871505,6,182,180,2
1203,12003687,6,120036871605,2,182,180,2
1204,12003694,1,120036941105,0,182,180,2
1205,12003694,2,120036941205,10,181,180,1
1206,12003694,3,120036941305,6,182,180,2
1207,12003694,4,120036941405,1,182,180,2
1208,12003694,5,120036941505,1,181,180,1
1209,12003694,6,120036941605,0,182,181,1
1210,12003699,1,120036991105,2,182,181,1
1211,12003699,2,120036991205,10,182,182,0
1212,12003699,3,120036991305,2,181,180,1
1213,12003699,4,120036991405,9,181,181,0
1214,12003699,5,120036991505,2,182,181,1
1215,12003699,6,120036991605,1,181,180,1
1216,12003704,1,120037041105,2,181,181,0
1217,12003704,2,120037041205,4,181,180,1
1218,12003704,3,120037041305,0,182,181,1
1219,12003704,4,120037041405,7,182,181,1
1220,12003704,5,120037041505,1,180,180,0
1221,12003704,6,120037041605,0,181,180,1
1222,12003709,1,120037091105,6,181,180,1
1223,12003709,2,120037091205,1,181,180,1
1224,12003709,3,120037091305,1,181,180,1
1225,12003709,4,120037091405,4,181,180,1
1226,12003709,5,120037091505,1,181,180,1
1227,12003709,6,120037091605,2,181,180,1
1228,12003714,1,120037141105,1,182,181,1
1229,12003714,2,120037141205,9,182,180,2
1230,12003714,3,120037141305,9,182,180,2
1231,12003714,4,120037141405,7,182,180,2
1232,12003714,5,120037141505,3,182,181,1
1233,12003714,6,120037141605,1,182,181,1
1234,12003719,1,120037191105,1,182,181,1
1235,12003719,2,120037191205,2,182,181,1
1236,12003719,3,120037191305,4,182,180,2
1237,12003719,4,120037191405,6,182,180,2
1238,12003719,5,120037191505,1,182,181,1
1239,12003719,6,120037191605,2,182,181,1
1240,12003723,1,120037231105,7,182,180,2
1241,12003723,2,120037231205,4,182,181,1
1242,12003723,3,120037231305,2,181,180,1
1243,12003723,4,120037231405,1,181,180,1
1244,12003723,5,120037231505,1,181,180,1
1245,12003723,6,120037231605,1,181,180,1
1246,12003727,1,120037271105,5,182,180,2
1247,12003727,2,120037271205,5,181,180,1
1248,12003727,3,120037271305,5,182,180,2
1249,12003727,4,120037271405,3,181,180,1
1250,12003727,5,120037271505,3,181,180,1
1251,12003727,6,120037271605,7,182,180,2
1,12003732,1,12003732105,7,181,180,1
2,12003732,2,12003732205,3,182,181,1
3,12003732,3,12003732305,8,181,180,1
4,12003732,4,12003732405,3,182,180,2
5,12003732,5,12003732505,3,182,181,1
6,12003732,6,12003732605,5,182,180,2
7,12003737,1,12003737105,4,181,180,1
8,12003737,2,12003737205,4,182,180,2
9,12003737,3,12003737305,4,182,181,1
10,12003737,4,12003737405,2,182,180,2
11,12003737,5,12003737505,3,181,180,1
12,12003737,6,12003737605,5,182,180,2
13,12003742,1,12003742105,2,181,181,0
14,12003742,2,12003742205,5,182,180,2
15,12003742,3,12003742305,8,181,181,0
16,12003742,4,12003742405,3,181,180,1
17,12003742,5,12003742505,2,182,181,1
18,12003742,6,12003742605,1,182,181,1
19,12003747,1,12003747105,4,181,181,0
20,12003747,2,12003747205,6,182,181,1
21,12003747,3,12003747305,6,181,181,0
22,12003747,4,12003747405,7,181,180,1
23,12003747,5,12003747505,1,181,180,1
24,12003747,6,12003747605,3,181,181,0
25,12003752,1,12003752105,5,181,181,0
26,12003752,2,12003752205,2,182,181,1
27,12003752,3,12003752305,2,180,180,0
28,12003752,4,12003752405,1,182,181,1
29,12003752,5,12003752505,6,180,180,0
30,12003752,6,12003752605,2,181,181,0
31,12003757,1,12003757105,1,180,180,0
32,12003757,2,12003757205,4,181,181,0
33,12003757,3,12003757305,2,180,180,0
34,12003757,4,12003757405,3,182,180,2
35,12003757,5,12003757505,3,181,180,1
36,12003757,6,12003757605,0,181,181,0
37,12003762,1,12003762105,5,182,180,2
38,12003762,2,12003762205,2,180,180,0
39,12003762,3,12003762305,1,180,180,0
40,12003762,4,12003762405,1,181,181,0
41,12003762,5,12003762505,2,181,180,1
42,12003762,6,12003762605,3,182,180,2
43,12003767,1,12003767105,1,180,180,0
44,12003767,2,12003767205,3,181,181,0
45,12003767,3,12003767305,0,180,180,0
46,12003767,4,12003767405,1,182,180,2
47,12003767,5,12003767505,0,181,180,1
48,12003767,6,12003767605,1,182,181,1
49,12003771,1,12003771105,3,181,180,1
50,12003771,2,12003771205,3,180,180,0
51,12003771,3,12003771305,0,181,181,0
52,12003771,4,12003771405,4,180,180,0
53,12003771,5,12003771505,2,182,182,0
54,12003771,6,12003771605,1,180,180,0
55,12003777,1,12003777105,4,183,180,3
56,12003777,2,12003777205,4,182,181,1
57,12003777,3,12003777305,3,183,180,3
58,12003777,4,12003777405,1,183,180,3
59,12003777,5,12003777505,3,183,182,1
60,12003777,6,12003777605,4,182,181,1
61,12003782,1,12003782105,2,181,180,1
62,12003782,2,12003782205,1,182,180,2
63,12003782,3,12003782305,1,181,180,1
64,12003782,4,12003782405,7,181,180,1
65,12003782,5,12003782505,9,182,181,1
66,12003782,6,12003782605,2,181,180,1
67,12003783,1,12003783105,8,151,151,0
68,12003783,2,12003783205,5,152,150,2
69,12003783,3,12003783305,6,150,150,0
70,12003783,4,12003783405,9,151,151,0
71,12003783,5,12003783505,10,150,150,0
72,12003783,6,12003783605,9,150,150,0
73,12003787,1,12003787105,8,151,151,0
74,12003787,2,12003787205,7,151,150,1
75,12003787,3,12003787305,5,152,151,1
76,12003787,4,12003787405,3,151,151,0
77,12003787,5,12003787505,3,151,150,1
78,12003787,6,12003787605,5,152,151,1
79,12003792,1,12003792105,2,152,151,1
80,12003792,2,12003792205,3,151,151,0
81,12003792,3,12003792305,8,151,151,0
82,12003792,4,12003792405,2,151,150,1
83,12003792,5,12003792505,3,152,150,2
84,12003792,6,12003792605,3,151,150,1
85,12003797,1,12003797105,2,151,151,0
86,12003797,2,12003797205,5,151,150,1
87,12003797,3,12003797305,3,152,150,2
88,12003797,4,12003797405,9,151,150,1
89,12003797,5,12003797505,4,151,151,0
90,12003797,6,12003797605,3,151,150,1
91,12003802,1,12003802105,2,151,150,1
92,12003802,2,12003802205,3,151,151,0
93,12003802,3,12003802305,1,152,151,1
94,12003802,4,12003802405,1,152,150,2
95,12003802,5,12003802505,10,152,151,1
96,12003802,6,12003802605,6,151,150,1
97,12003808,1,12003808105,1,152,150,2
98,12003808,2,12003808205,1,152,151,1
99,12003808,3,12003808305,4,151,151,0
100,12003808,4,12003808405,9,151,151,0
101,12003808,5,12003808505,7,152,150,2
102,12003808,6,12003808605,1,152,150,2
103,12003812,1,12003812105,3,151,150,1
104,12003812,2,12003812205,3,152,150,2
105,12003812,3,12003812305,5,152,151,1
106,12003812,4,12003812405,7,152,150,2
107,12003812,5,12003812505,8,152,150,2
108,12003812,6,12003812605,2,151,150,1
109,12003817,1,12003817105,4,151,150,1
110,12003817,2,12003817205,3,151,150,1
111,12003817,3,12003817305,6,151,150,1
112,12003817,4,12003817405,7,151,150,1
113,12003817,5,12003817505,9,151,150,1
114,12003817,6,12003817605,3,151,150,1
115,12003822,1,12003822105,1,151,150,1
116,12003822,2,12003822205,9,151,149,2
117,12003822,3,12003822305,6,152,150,2
118,12003822,4,12003822405,1,151,150,1
119,12003822,5,12003822505,5,151,150,1
120,12003822,6,12003822605,9,152,150,2
121,12003827,1,12003827105,6,152,151,1
122,12003827,2,12003827205,4,151,150,1
123,12003827,3,12003827305,3,151,149,2
124,12003827,4,12003827405,8,151,150,1
125,12003827,5,12003827505,7,152,150,2
126,12003827,6,12003827605,1,151,150,1
127,12003832,1,12003832105,10,152,150,2
128,12003832,1,12003832105,10,152,150,2
129,12003832,2,12003832205,7,152,150,2
130,12003832,2,12003832205,7,152,150,2
131,12003832,3,12003832305,1,151,150,1
132,12003832,3,12003832305,1,151,150,1
133,12003832,4,12003832405,9,152,150,2
134,12003832,5,12003832505,2,151,150,1
135,12003832,6,12003832605,4,151,150,1
136,12003835,1,12003835105,8,152,152,0
137,12003835,2,12003835205,6,152,150,2
138,12003835,3,12003835305,8,151,150,1
139,12003835,4,12003835405,1,152,150,2
140,12003835,5,12003835505,16,152,151,1
141,12003835,6,12003835605,10,150,150,0
142,12003839,1,12003839105,1,152,152,0
143,12003839,2,12003839205,10,151,150,1
144,12003839,3,12003839305,10,150,150,0
145,12003839,4,12003839405,4,151,150,1
146,12003839,5,12003839505,10,152,150,2
147,12003839,6,12003839605,14,151,151,0
148,12003843,1,12003843105,3,152,152,0
149,12003843,2,12003843205,1,150,150,0
150,12003843,3,12003843305,8,152,150,2
151,12003843,4,12003843405,10,151,151,0
152,12003843,5,12003843505,7,150,150,0
153,12003843,6,12003843605,7,151,150,1
154,12003849,1,12003849105,2,152,152,0
155,12003849,2,12003849205,1,152,150,2
156,12003849,3,12003849305,2,152,151,1
157,12003849,4,12003849405,9,151,151,0
158,12003849,5,12003849505,4,152,151,1
159,12003849,6,12003849605,6,152,150,2
160,12003854,1,12003854105,2,152,152,0
161,12003854,2,12003854205,2,152,150,2
162,12003854,3,12003854305,3,151,150,1
163,12003854,4,12003854405,7,151,151,0
164,12003854,5,12003854505,1,152,151,1
165,12003854,6,12003854605,2,152,150,2
166,12003859,1,12003859105,1,152,150,2
167,12003859,2,12003859205,2,151,151,0
168,12003859,3,12003859305,4,152,151,1
169,12003859,4,12003859405,6,152,150,2
170,12003859,5,12003859505,10,152,151,1
171,12003859,6,12003859605,6,151,150,1
172,12003864,1,12003864105,1,151,150,1
173,12003864,2,12003864205,9,151,150,1
174,12003864,3,12003864305,1,152,152,0
175,12003864,4,12003864405,2,151,150,1
176,12003864,5,12003864505,10,152,151,1
177,12003864,6,12003864605,1,152,151,1
178,12003868,1,12003868105,3,151,150,1
179,12003868,1,12003868105,3,151,150,1
180,12003868,1,12003868105,3,151,150,1
181,12003868,2,12003868205,8,151,151,0
182,12003868,3,12003868305,3,151,151,0
183,12003868,4,12003868405,9,152,151,1
184,12003868,5,12003868505,10,152,150,2
185,12003868,6,12003868605,2,151,150,1
186,12003869,1,12003869105,1,181,180,1
187,12003869,3,12003869305,2,181,180,1
188,12003869,4,12003869405,4,181,181,0
189,12003869,6,12003869605,4,181,180,1
190,12003873,1,12003873105,1,182,180,2
191,12003873,2,12003873205,4,181,180,1
192,12003873,3,12003873305,10,180,180,0
193,12003873,4,12003873405,1,182,182,0
194,12003873,5,12003873505,2,180,180,0
195,12003873,6,12003873605,3,181,181,0
196,12003878,1,12003878115,1,182,182,0
197,12003878,2,12003878205,7,180,180,0
198,12003878,3,12003878305,10,181,180,1
199,12003878,4,12003878405,5,182,181,1
200,12003878,6,12003878605,1,181,181,0
201,12003883,1,12003883105,1,180,180,0
202,12003883,2,12003883205,3,181,180,1
203,12003883,3,12003883305,1,181,181,0
204,12003883,4,12003883405,1,182,180,2
205,12003883,5,12003883505,0,181,181,0
206,12003883,6,12003883605,6,180,180,0
207,12003886,1,12003886105,4,180,180,0
208,12003886,2,12003886205,3,182,180,2
209,12003886,3,12003886305,4,181,180,1
210,12003886,4,12003886405,1,181,181,0
211,12003886,5,12003886505,2,182,182,0
212,12003886,6,12003886605,1,180,180,0
213,12003888,1,12003888105,4,181,180,1
214,12003888,2,12003888205,2,181,180,1
215,12003888,3,12003888305,2,181,180,1
216,12003888,4,12003888405,1,181,180,1
217,12003888,5,12003888505,2,181,180,1
218,12003888,6,12003888605,3,181,180,1
219,12003892,1,12003892105,3,181,180,1
220,12003892,2,12003892205,1,181,181,0
221,12003892,3,12003892305,1,181,180,1
222,12003892,4,12003892405,1,181,180,1
223,12003892,5,12003892505,3,182,180,2
224,12003892,6,12003892605,2,181,180,1
225,12003897,1,12003897105,3,181,180,1
226,12003897,2,12003897205,4,181,181,0
227,12003897,3,12003897305,3,181,180,1
228,12003897,4,12003897405,2,181,180,1
229,12003897,5,12003897505,3,182,180,2
230,12003897,6,12003897605,2,181,180,1
231,12003903,1,12003903105,4,181,181,0
232,12003903,2,12003903205,2,182,181,1
233,12003903,3,12003903305,7,182,181,1
234,12003903,4,12003903405,7,181,180,1
235,12003903,5,12003903505,9,182,180,2
236,12003903,6,12003903605,2,182,181,1
237,12003908,1,12003908105,10,181,181,0
238,12003908,2,12003908205,2,182,181,1
239,12003908,3,12003908305,2,181,180,1
240,12003908,4,12003908405,3,182,181,1
241,12003908,5,12003908505,3,181,181,0
242,12003908,6,12003908605,5,182,181,1
243,12003913,1,12003913105,6,181,180,1
244,12003913,2,12003913205,7,182,181,1
245,12003913,3,12003913305,3,182,180,2
246,12003913,4,12003913405,6,181,180,1
247,12003913,5,12003913505,4,182,180,2
248,12003913,6,12003913605,2,181,180,1
249,12003918,1,12003918105,4,181,180,1
250,12003918,2,12003918205,3,181,180,1
251,12003918,3,12003918305,3,182,181,1
252,12003918,4,12003918405,1,181,180,1
253,12003918,6,12003918605,4,181,181,0
254,12003923,2,12003923205,3,182,180,2
255,12003923,3,12003923305,4,181,180,1
256,12003923,4,12003923405,3,182,181,1
257,12003923,5,12003923505,2,182,180,2
258,12003923,6,12003923605,3,182,180,2
259,12003928,1,12003928105,5,182,180,2
260,12003928,2,12003928205,3,181,180,1
261,12003928,3,12003928305,2,182,180,2
262,12003928,4,12003928405,4,182,181,1
263,12003928,5,12003928505,2,182,180,2
264,12003928,6,12003928605,3,181,180,1
265,12003933,1,12003933105,3,181,180,1
266,12003933,2,12003933205,2,181,181,0
267,12003933,3,12003933305,0,181,180,1
268,12003933,4,12003933405,1,181,180,1
269,12003933,5,12003933505,1,182,180,2
270,12003933,6,12003933605,2,181,180,1
271,12003937,1,12003937105,4,180,180,0
272,12003937,2,12003937205,1,182,181,1
273,12003937,3,12003937305,2,181,181,0
274,12003937,4,12003937405,0,182,180,2
275,12003937,5,12003937505,1,181,181,0
276,12003937,6,12003937605,1,181,180,1
277,12003942,1,12003942105,2,181,180,1
278,12003942,2,12003942205,0,181,181,0
279,12003942,3,12003942305,2,181,180,1
280,12003942,4,12003942405,2,180,180,0
281,12003942,5,12003942505,0,181,181,0
282,12003942,6,12003942605,4,180,180,0
283,12003947,1,12003947105,1,181,180,1
284,12003947,2,12003947205,0,180,180,0
285,12003947,3,12003947305,2,181,181,0
286,12003947,4,12003947405,0,182,181,1
287,12003947,5,12003947505,1,182,180,2
288,12003947,6,12003947605,3,181,181,0
289,12003952,1,12003952105,1,181,180,1
290,12003952,2,12003952205,1,181,180,1
291,12003952,3,12003952305,4,181,180,1
292,12003952,4,12003952405,2,182,181,1
293,12003952,5,12003952505,1,182,180,2
294,12003952,6,12003952605,3,181,180,1
295,12003956,1,12003956105,1,181,180,1
296,12003956,2,12003956205,1,181,180,1
297,12003956,3,12003956305,3,181,180,1
298,12003956,4,12003956405,3,182,180,2
299,12003956,5,12003956505,1,182,180,2
300,12003956,6,12003956605,3,181,181,0
301,12003957,1,12003957107,5,181,180,1
302,12003957,2,12003957207,3,181,180,1
303,12003957,3,12003957307,7,182,180,2
304,12003957,4,12003957407,6,182,180,2
305,12003957,5,12003957507,2,182,181,1
306,12003957,6,12003957607,3,181,180,1
307,12003958,1,12003958107,4,182,180,2
308,12003958,2,12003958207,4,181,180,1
309,12003958,3,12003958307,8,181,180,1
310,12003958,4,12003958407,5,182,180,2
311,12003958,5,12003958507,3,182,181,1
312,12003958,6,12003958607,3,182,180,2
313,12003959,1,12003959107,7,182,181,1
314,12003959,2,12003959207,7,183,181,2
315,12003959,3,12003959307,2,181,180,1
316,12003959,4,12003959407,2,182,180,2
317,12003959,5,12003959507,3,182,181,1
318,12003959,6,12003959607,4,181,180,1
319,12003963,1,12003963105,10,181,180,1
320,12003963,2,12003963205,3,182,180,2
321,12003963,3,12003963305,3,181,180,1
322,12003963,4,12003963405,5,182,181,1
323,12003963,5,12003963505,4,182,180,2
324,12003963,6,12003963605,6,181,180,1
325,12003969,1,12003969105,5,182,181,1
326,12003969,2,12003969205,9,181,180,1
327,12003969,3,12003969305,3,182,180,2
328,12003969,4,12003969405,3,182,181,1
329,12003969,5,12003969505,3,181,180,1
330,12003969,6,12003969605,7,182,180,2
331,12003971,1,12003971105,2,181,180,1
332,12003971,2,12003971205,5,182,181,1
333,12003971,3,12003971305,3,181,181,0
334,12003971,4,12003971405,4,181,180,1
335,12003971,5,12003971505,8,181,181,0
336,12003971,6,12003971605,5,182,181,1
337,12003976,1,12003976105,8,181,181,0
338,12003976,2,12003976205,6,181,181,0
339,12003976,3,12003976305,3,182,180,2
340,12003976,4,12003976405,1,182,180,2
341,12003976,5,12003976505,8,181,181,0
342,12003976,6,12003976605,7,181,180,1
343,12003981,1,12003981105,7,181,180,1
344,12003981,2,12003981205,8,182,181,1
345,12003981,3,12003981305,1,181,181,0
346,12003981,4,12003981405,4,182,180,2
347,12003981,5,12003981505,5,181,180,1
348,12003981,6,12003981605,5,181,180,1
349,12003987,1,12003987105,6,181,181,0
350,12003987,2,12003987205,6,181,180,1
351,12003987,3,12003987305,4,182,181,1
352,12003987,4,12003987405,2,181,181,0
353,12003987,5,12003987505,5,182,181,1
354,12003987,6,12003987605,2,181,180,1
355,12003992,1,12003992105,6,181,180,1
356,12003992,2,12003992205,7,182,180,2
357,12003992,3,12003992305,1,180,180,0
358,12003992,4,12003992405,8,181,181,0
359,12003992,5,12003992505,7,181,180,1
360,12003992,6,12003992605,8,182,180,2
361,12003996,1,12003996105,6,182,180,2
362,12003996,2,12003996205,5,180,180,0
363,12003996,3,12003996305,2,181,180,1
364,12003996,4,12003996405,3,181,181,0
365,12003996,5,12003996505,7,180,180,0
366,12003996,6,12003996605,9,182,181,1
367,12003998,1,12003998105,4,182,181,1
368,12003998,2,12003998205,10,181,181,0
369,12003998,3,12003998305,2,182,180,2
370,12003998,4,12003998405,3,180,180,0
371,12003998,5,12003998505,1,180,180,0
372,12003998,6,12003998605,3,182,180,2
373,12003999,1,12003999105,4,182,180,2
374,12003999,2,12003999205,1,180,180,0
375,12003999,3,12003999305,7,181,181,0
376,12003999,4,12003999405,4,181,180,1
377,12003999,5,12003999505,7,182,180,2
378,12003999,6,12003999605,2,181,180,1
379,12004003,1,12004003105,2,181,180,1
380,12004003,2,12004003205,2,181,181,0
381,12004003,3,12004003305,1,182,181,1
382,12004003,4,12004003405,3,181,180,1
383,12004003,5,12004003505,7,181,180,1
384,12004003,6,12004003605,2,181,181,0
385,12004007,1,12004007105,3,181,180,1
386,12004007,2,12004007205,3,181,180,1
387,12004007,3,12004007305,4,182,181,1
388,12004007,4,12004007405,2,181,181,0
389,12004007,5,12004007505,4,182,181,1
390,12004007,6,12004007605,3,182,180,2
391,12004011,1,12004011105,4,181,180,1
392,12004011,2,12004011205,2,181,181,0
393,12004011,3,12004011305,4,182,181,1
394,12004011,4,12004011405,1,181,181,0
395,12004011,5,12004011505,4,181,181,0
396,12004011,6,12004011605,2,182,180,2
397,12004018,1,12004018105,2,181,180,1
398,12004018,2,12004018205,2,181,181,0
399,12004018,3,12004018305,4,182,181,1
400,12004018,4,12004018405,2,181,181,0
401,12004018,5,12004018505,6,181,181,0
402,12004018,6,12004018605,3,182,180,2
403,12004019,1,12004019105,2,181,181,0
404,12004019,2,12004019205,6,181,180,1
405,12004019,3,12004019305,2,180,180,0
406,12004019,5,12004019505,3,182,181,1
407,12004019,6,12004019605,5,181,180,1
408,12004023,1,12004023105,2,181,180,1
409,12004023,2,12004023205,5,180,180,0
410,12004023,3,12004023305,7,180,180,0
411,12004023,4,12004023405,3,180,179,1
412,12004023,5,12004023505,2,181,180,1
413,12004023,6,12004023605,7,180,180,0
414,12004027,1,12004027105,6,180,179,1
415,12004027,2,12004027205,9,181,180,1
416,12004027,3,12004027305,6,180,180,0
417,12004027,4,12004027405,2,180,179,1
418,12004027,5,12004027505,2,181,181,0
419,12004027,6,12004027605,8,181,180,1
420,12004032,1,12004032105,8,181,180,1
421,12004032,2,12004032205,7,182,180,2
422,12004032,3,12004032305,5,181,181,0
423,12004032,4,12004032405,2,181,180,1
424,12004032,5,12004032505,6,182,181,1
425,12004032,6,12004032605,4,180,179,1
426,12004036,1,12004036105,5,182,180,2
427,12004036,2,12004036205,6,180,180,0
428,12004036,3,12004036305,3,181,180,1
429,12004036,4,12004036405,8,182,182,0
430,12004036,5,12004036505,3,181,180,1
431,12004036,6,12004036605,5,181,181,0
432,12004037,1,12004037105,8,181,181,0
433,12004037,2,12004037205,4,182,181,1
434,12004037,3,12004037305,2,181,180,1
435,12004037,6,12004037605,7,181,181,0
436,12004038,1,12004038105,2,181,180,1
437,12004038,2,12004038205,1,182,180,2
438,12004038,3,12004038305,7,181,181,0
439,12004038,6,12004038605,5,180,180,0
440,12004039,1,12004039105,5,181,181,0
441,12004039,2,12004039205,4,182,181,1
442,12004039,3,12004039305,2,181,180,1
443,12004039,4,12004039405,2,181,180,1
444,12004039,5,12004039505,2,181,180,1
445,12004039,6,12004039605,5,181,181,0
446,12004043,1,12004043105,7,181,181,0
447,12004043,2,12004043205,5,182,180,2
448,12004043,3,12004043305,3,181,180,1
449,12004043,4,12004043405,1,181,181,0
450,12004043,5,12004043505,4,181,180,1
451,12004043,6,12004043605,4,182,181,1
452,12004044,1,12004044105,7,182,180,2
453,12004044,2,12004044205,4,181,180,1
454,12004044,3,12004044305,4,181,180,1
455,12004044,4,12004044405,7,181,181,0
456,12004044,5,12004044505,6,181,180,1
457,12004044,6,12004044605,2,181,181,0
458,12004048,1,12004048105,6,182,180,2
459,12004048,2,12004048205,3,181,180,1
460,12004048,3,12004048305,4,181,181,0
461,12004048,4,12004048405,6,181,181,0
462,12004048,5,12004048505,6,181,180,1
463,12004048,6,12004048605,3,181,181,0
464,12004053,1,12004053105,10,182,180,2
465,12004053,2,12004053205,6,182,180,2
466,12004053,3,12004053305,2,182,181,1
467,12004053,4,12004053405,2,181,181,0
468,12004053,5,12004053505,2,181,181,0
469,12004058,1,12004058105,9,182,180,2
470,12004058,2,12004058205,2,182,181,1
471,12004058,3,12004058305,10,182,179,3
472,12004058,4,12004058405,3,182,181,1
473,12004058,5,12004058505,3,182,181,1
474,12004058,6,12004058605,10,182,179,3
475,12004063,1,12004063105,10,182,180,2
476,12004063,2,12004063205,2,182,181,1
477,12004063,3,12004063305,3,182,181,1
478,12004063,5,12004063505,2,182,180,2
479,12004063,6,12004063605,9,182,180,2
480,12004067,1,12004067105,4,182,180,2
481,12004067,2,12004067205,8,180,180,0
482,12004067,3,12004067305,3,181,181,0
483,12004067,4,12004067405,5,182,182,0
484,12004067,5,12004067505,3,182,180,2
485,12004067,6,12004067605,9,180,180,0
486,12004073,1,12004073105,9,181,180,1
487,12004073,2,12004073205,2,182,180,2
488,12004073,3,12004073305,3,181,180,1
489,12004073,4,12004073405,2,180,180,0
490,12004073,5,12004073505,1,182,182,0
491,12004073,6,12004073605,10,182,180,2
492,12004076,1,12004076106,1,182,180,2
493,12004076,2,12004076205,1,181,181,0
494,12004076,3,12004076305,4,180,180,0
495,12004076,4,12004076405,5,182,182,0
496,12004076,5,12004076505,7,181,180,1
497,12004076,6,12004076605,3,181,181,0
498,12004080,1,12004080105,3,181,180,1
499,12004080,2,12004080205,4,182,180,2
500,12004080,3,12004080305,3,182,182,0
501,12004080,4,12004080405,6,181,181,0
502,12004080,5,12004080505,5,182,181,1
503,12004080,6,12004080605,8,180,180,0
504,12004084,1,12004084105,4,182,181,1
505,12004084,2,12004084205,7,181,181,0
506,12004084,3,12004084305,10,182,180,2
507,12004084,4,12004084405,10,181,181,0
508,12004084,5,12004084505,5,182,181,1
509,12004084,6,12004084605,10,181,181,0
510,12004085,1,12004085105,6,181,180,1
511,12004085,2,12004085205,10,181,181,0
512,12004085,3,12004085305,3,182,181,1
513,12004085,4,12004085405,10,181,180,1
514,12004085,5,12004085505,6,182,182,0
515,12004085,6,12004085605,10,181,180,1
516,12004089,1,12004089105,2,182,181,1
517,12004089,2,12004089205,10,181,180,1
518,12004089,3,12004089305,9,181,181,0
519,12004089,4,12004089405,8,181,181,0
520,12004089,5,12004089505,6,182,181,1
521,12004089,6,12004089605,4,181,181,0
522,12004094,1,12004094105,1,181,181,0
523,12004094,2,12004094205,6,182,181,1
524,12004094,3,12004094305,6,181,180,1
525,12004094,4,12004094405,3,181,181,0
526,12004094,5,12004094505,4,182,181,1
527,12004094,6,12004094605,8,181,180,1
528,12004100,1,12004100105,10,182,180,2
529,12004100,2,12004100205,10,181,181,0
530,12004100,3,12004100305,8,182,180,2
531,12004100,4,12004100405,5,182,180,2
532,12004100,5,12004100505,1,182,181,1
533,12004100,6,12004100605,5,182,180,2
534,12004101,1,12004101105,1,182,181,1
535,12004101,2,12004101205,9,182,181,1
536,12004101,3,12004101305,4,181,180,1
537,12004101,4,12004101405,2,181,180,1
538,12004101,5,12004101505,5,181,180,1
539,12004101,6,12004101605,8,181,180,1
540,12004106,1,12004106105,1,181,180,1
541,12004106,2,12004106205,7,181,180,1
542,12004106,3,12004106305,9,182,181,1
543,12004106,4,12004106405,10,182,180,2
544,12004106,5,12004106505,8,181,180,1
545,12004106,6,12004106605,8,182,180,2
546,12004110,1,12004110105,2,181,180,1
547,12004110,2,12004110205,4,181,180,1
548,12004110,3,12004110305,10,182,181,1
549,12004110,4,12004110405,6,182,180,2
550,12004110,5,12004110505,1,181,180,1
551,12004110,6,12004110605,10,182,180,2
552,12004115,1,12004115105,7,182,181,1
553,12004115,2,12004115205,4,181,181,0
554,12004115,3,12004115305,3,182,181,1
555,12004115,5,12004115505,9,180,180,0
556,12004115,6,12004115605,10,181,180,1
557,12004120,1,12004120105,1,180,180,0
558,12004120,2,12004120205,5,182,180,2
559,12004120,3,12004120305,2,181,180,1
560,12004120,4,12004120405,1,182,181,1
561,12004120,5,12004120505,2,181,181,0
562,12004120,6,12004120605,5,182,180,2
563,12004125,1,12004125105,0,180,180,0
564,12004125,2,12004125205,4,181,180,1
565,12004125,3,12004125305,2,181,181,0
566,12004125,4,12004125405,1,182,181,1
567,12004125,5,12004125505,2,181,180,1
568,12004125,6,12004125605,9,182,181,1
569,12004127,1,12004127105,6,181,180,1
570,12004127,2,12004127205,8,181,181,0
571,12004127,3,12004127305,10,182,181,1
572,12004127,4,12004127405,9,181,180,1
573,12004127,5,12004127505,7,181,181,0
574,12004127,6,12004127605,10,181,180,1
575,12004128,1,12004128105,7,151,150,1
576,12004128,1,12004128105,7,151,150,1
577,12004128,1,12004128105,7,151,150,1
578,12004128,2,12004128205,10,152,151,1
579,12004128,3,12004128305,1,150,150,0
580,12004128,4,12004128405,2,151,150,1
581,12004128,5,12004128505,3,151,151,0
582,12004128,6,12004128605,1,152,151,1
583,12004132,1,12004132105,10,151,150,1
584,12004132,2,12004132205,8,151,151,0
585,12004132,3,12004132305,3,151,150,1
586,12004132,4,12004132405,6,152,150,2
587,12004132,5,12004132505,2,151,150,1
588,12004132,6,12004132605,5,150,150,0
589,12004137,1,12004137105,2,151,151,0
590,12004137,2,12004137205,4,151,150,1
591,12004137,3,12004137305,8,152,150,2
592,12004137,4,12004137405,4,151,151,0
593,12004137,5,12004137505,2,150,150,0
594,12004137,6,12004137605,5,152,151,1
595,12004142,1,12004142105,3,151,150,1
596,12004142,2,12004142205,3,152,150,2
597,12004142,3,12004142305,7,151,150,1
598,12004142,4,12004142405,9,152,150,2
599,12004142,5,12004142505,4,151,150,1
600,12004147,1,12004147105,5,152,150,2
601,12004147,2,12004147205,3,151,150,1
